Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,8,1,1.0,1189.0,0.0008403361344537816,0.03225806451612903,0.0,0.003081881605808982,0.004167523417183593,0.026050420168067228
1,8,2,5.0,1189.0,0.004201680672268907,0.03333333333333333,0.0,0.005414809211867475,0.0041042349891180765,0.12605042016806722
1,8,3,1.0,1189.0,0.0008403361344537816,0.0009074410163339383,0.0,6.534944889975266e-05,0.00022980598467422023,0.9260504201680673
1,8,4,3.0,1189.0,0.0025210084033613447,0.007547169811320755,0.0,0.002996533561788822,0.0018585232499110339,0.3340336134453782
1,8,5,3.0,1189.0,0.0025210084033613447,0.16666666666666666,0.0,0.005595691397375167,0.011212102239578284,0.015126050420168069
