Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
2,6,1,5.0,344.0,0.014492753623188406,0.07317073170731707,0.0,0.026631805326702868,0.015367462361444885,0.19806763285024157
2,6,2,5.0,344.0,0.014492753623188406,0.030534351145038167,0.0,0.015770795813022348,0.007947584069649257,0.4746376811594203
2,6,3,5.0,344.0,0.014492753623188406,0.037037037037037035,0.0,0.01914617135197623,0.008115840527310259,0.391304347826087
2,6,4,5.0,344.0,0.014492753623188406,0.04,0.0,0.01739219238359959,0.00824334347945935,0.36231884057971014
2,6,5,5.0,344.0,0.014492753623188406,0.04081632653061224,0.0,0.01994644295039484,0.01000540278526814,0.35507246376811596
