Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
2,2,1,5.0,470.0,0.010615711252653927,0.047619047619047616,0.0,0.01549291834714928,0.008290768970497972,0.2229299363057325
2,2,2,5.0,470.0,0.010615711252653927,0.02976190476190476,0.0,0.01668008937525909,0.007370718646395747,0.35668789808917195
2,2,3,5.0,470.0,0.010615711252653927,0.01675977653631285,0.0,0.009662513339588504,0.004617735023858943,0.6334041047416843
2,2,4,5.0,470.0,0.010615711252653927,0.029411764705882353,0.0,0.015877496974395833,0.00580845774433473,0.3609341825902335
2,2,5,5.0,470.0,0.010615711252653927,0.07142857142857142,0.0,0.015559228585542475,0.007748403260898655,0.14861995753715498
