Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,9,1,2.0,548.0,0.0036429872495446266,0.09090909090909091,0.0,0.012686175449367837,0.014088568151062545,0.04007285974499089
1,9,2,5.0,548.0,0.009107468123861567,0.03,0.0,0.010517214121404285,0.006568882945650462,0.3035822707953856
1,9,3,3.0,548.0,0.00546448087431694,0.009316770186335404,0.0,0.0033047632507923535,0.0035395963273920764,0.5865209471766849
1,9,4,2.0,548.0,0.0036429872495446266,0.058823529411764705,0.0,0.008191710720358894,0.007537454125434019,0.061930783242258654
1,9,5,3.0,548.0,0.00546448087431694,0.06666666666666667,0.0,0.015577777291818284,0.013115210242923515,0.0819672131147541
