Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
3,9,1,5.0,155.0,0.03205128205128205,0.09523809523809523,0.0,0.03539082011388551,0.01832108454683034,0.3365384615384615
3,9,2,1.0,155.0,0.00641025641025641,0.0064516129032258064,0.0,8.297980202246592e-05,0.0007257806516991539,0.9935897435897435
3,9,3,4.0,155.0,0.02564102564102564,0.036585365853658534,0.0,0.0204883426104417,0.012140691170931401,0.7008547008547009
3,9,4,3.0,155.0,0.019230769230769232,0.0234375,0.0,0.010210151706200436,0.00921096149728865,0.8205128205128206
3,9,5,4.0,155.0,0.02564102564102564,0.029850746268656716,0.0,0.017956907413747225,0.010711410175201743,0.8589743589743589
