Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,7,1,4.0,765.0,0.005221932114882507,0.01694915254237288,0.0,0.006623195641597365,0.0028595974903595778,0.30809399477806787
1,7,2,5.0,765.0,0.006527415143603133,0.1111111111111111,0.0,0.008202154103543883,0.01016363582964496,0.0587467362924282
1,7,3,2.0,765.0,0.0026109660574412533,0.004914004914004914,0.0,0.0017343077819675986,0.0017961907917019547,0.5313315926892951
1,7,4,3.0,765.0,0.0039164490861618795,0.07407407407407407,0.0,0.010712096840045537,0.011322001567184537,0.05287206266318538
1,7,5,3.0,765.0,0.0039164490861618795,0.04,0.0,0.007987745262465595,0.007045305407046159,0.09791122715404699
