Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
3,6,1,4.0,304.0,0.013114754098360656,0.019230769230769232,0.0,0.011421672831468546,0.00616418337141157,0.6819672131147541
3,6,2,4.0,304.0,0.013114754098360656,0.021739130434782608,0.0,0.010897281548316104,0.005029951683798184,0.6032786885245902
3,6,3,5.0,304.0,0.01639344262295082,0.045454545454545456,0.0,0.015418264777876304,0.008236930563872938,0.36065573770491804
3,6,4,4.0,304.0,0.013114754098360656,0.06666666666666667,0.0,0.020322071329463186,0.00933679113196699,0.19672131147540983
3,6,5,4.0,304.0,0.013114754098360656,0.016129032258064516,0.0,0.008330365707765661,0.005288352135579671,0.8131147540983606
