Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
3,4,1,3.0,168.0,0.01775147928994083,0.02459016393442623,0.0,0.009131906500320936,0.009912704836674556,0.7218934911242604
3,4,2,2.0,168.0,0.011834319526627219,0.021505376344086023,0.0,0.00908546724725318,0.007629917890055986,0.5502958579881656
3,4,3,5.0,168.0,0.029585798816568046,0.06060606060606061,0.0,0.02816507480873713,0.013011484808391783,0.4881656804733727
3,4,4,2.0,168.0,0.011834319526627219,0.0125,0.0,0.0021985404174125313,0.0038032004901827413,0.9467455621301775
3,4,5,4.0,168.0,0.023668639053254437,0.02564102564102564,0.0,0.014676640274875308,0.009420617070567646,0.9230769230769231
