Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,5,1,5.0,973.0,0.00513347022587269,0.09090909090909091,0.0,0.0066818581560849615,0.008132276283085365,0.05646817248459959
1,5,2,3.0,973.0,0.003080082135523614,0.037037037037037035,0.0,0.006957302764979812,0.006599053359578997,0.08316221765913759
1,5,3,2.0,973.0,0.002053388090349076,0.05263157894736842,0.0,0.004295617869605795,0.00606587173870052,0.039014373716632446
1,5,4,1.0,973.0,0.001026694045174538,0.0033003300330033004,0.0,0.0012023050668150883,0.0009472776899762717,0.31108829568788504
1,5,5,1.0,973.0,0.001026694045174538,0.08333333333333333,0.0,0.004562449006009864,0.008212353463117203,0.012320328542094456
