Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,10,1,4.0,951.0,0.004201680672268907,0.058823529411764705,0.0,0.009411205531386631,0.008875980194623493,0.07142857142857142
1,10,2,2.0,951.0,0.0021008403361344537,0.017241379310344827,0.0,0.004912317070187632,0.003615478823644706,0.12184873949579832
1,10,3,5.0,951.0,0.005252100840336135,0.07692307692307693,0.0,0.011451815276572033,0.009428040778768706,0.06827731092436976
1,10,4,3.0,951.0,0.0031512605042016808,0.0035629453681710215,0.0,0.001009697427749076,0.0014080265422921757,0.884453781512605
1,10,5,3.0,951.0,0.0031512605042016808,0.011406844106463879,0.0,0.004715809399729473,0.002775756643799106,0.2762605042016807
