Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,3,1,3.0,976.0,0.0030706243602865915,0.010638297872340425,0.0,0.0024970737918768417,0.002008923235155765,0.2886386898669396
1,3,2,5.0,976.0,0.00511770726714432,0.00847457627118644,0.0,0.0030500646827669262,0.0017580738744038605,0.6038894575230297
1,3,3,3.0,976.0,0.0030706243602865915,0.043478260869565216,0.0,0.006186298406474128,0.004861048995721616,0.07062436028659161
1,3,4,3.0,976.0,0.0030706243602865915,0.018867924528301886,0.0,0.006190487451222158,0.003869666372511938,0.16274309109518936
1,3,5,4.0,976.0,0.0040941658137154556,0.028985507246376812,0.0,0.00794370956293568,0.005238958902465897,0.14124872057318322
