Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,4,1,1.0,734.0,0.0013605442176870747,0.0013736263736263737,0.0,1.4899917292293578e-05,0.00014194147978883727,0.9904761904761903
1,4,2,5.0,734.0,0.006802721088435374,0.1111111111111111,0.0,0.012028040847728572,0.011202648604046713,0.061224489795918366
1,4,3,3.0,734.0,0.004081632653061225,0.03125,0.0,0.004856427042996897,0.004547033271661222,0.1306122448979592
1,4,4,3.0,734.0,0.004081632653061225,0.018867924528301886,0.0,0.004260192043375662,0.003160373822048606,0.21632653061224494
1,4,5,2.0,734.0,0.0027210884353741495,0.015625,0.0,0.0045164747523484166,0.002617730135726279,0.17414965986394557
