Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
3,7,1,4.0,431.0,0.009259259259259259,0.045454545454545456,0.0,0.01916142947863563,0.009641930540408006,0.2037037037037037
3,7,2,3.0,431.0,0.006944444444444444,0.058823529411764705,0.0,0.013225398479563508,0.007680551740464791,0.11805555555555555
3,7,3,3.0,431.0,0.006944444444444444,0.043478260869565216,0.0,0.015979045291351336,0.010308216370847695,0.1597222222222222
3,7,4,5.0,431.0,0.011574074074074073,0.03571428571428571,0.0,0.015982833576862226,0.00751579170578455,0.32407407407407407
3,7,5,4.0,431.0,0.009259259259259259,0.05263157894736842,0.0,0.017923109491956142,0.008485987919143807,0.17592592592592593
