Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,2,1,2.0,2788.0,0.0007171029042667623,0.0047169811320754715,0.0,0.0011337477841282242,0.0007656116885216226,0.15202581570455362
1,2,2,4.0,2788.0,0.0014342058085335247,0.004608294930875576,0.0,0.0019179004721740383,0.0007919278064561213,0.3112226604517749
1,2,3,5.0,2788.0,0.0017927572606669057,0.11764705882352941,0.0,0.004351337752493438,0.009026236411029441,0.015238436715668699
1,2,4,4.0,2788.0,0.0014342058085335247,0.006289308176100629,0.0,0.0018334172559872105,0.0009369193729272576,0.2280387235568304
1,2,5,3.0,2788.0,0.0010756543564001434,0.005747126436781609,0.0,0.0017624872003085654,0.0011257974626083871,0.18716385801362495
