Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
2,1,1,5.0,967.0,0.005165289256198347,0.03508771929824561,0.0,0.009424871608494909,0.005639239703742097,0.14721074380165292
2,1,2,5.0,967.0,0.005165289256198347,0.030303030303030304,0.0,0.009419775698047764,0.005426574334708102,0.17045454545454544
2,1,3,5.0,967.0,0.005165289256198347,0.03225806451612903,0.0,0.010273574498656337,0.006660319770474178,0.16012396694214878
2,1,4,5.0,967.0,0.005165289256198347,0.014388489208633094,0.0,0.006048552260138136,0.0037220071225277443,0.3589876033057851
2,1,5,5.0,967.0,0.005165289256198347,0.018018018018018018,0.0,0.008852969725549654,0.004297559613903075,0.28667355371900827
