Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness
1,6,1,4.0,985.0,0.004056795131845842,0.005797101449275362,0.0,0.0028756958111785303,0.0019153258277891728,0.6997971602434077
1,6,2,3.0,985.0,0.0030425963488843813,0.006237006237006237,0.0,0.0034104301315848904,0.0018272221926414192,0.48782961460446245
1,6,3,3.0,985.0,0.0030425963488843813,0.02631578947368421,0.0,0.005991969460099925,0.004390208750308594,0.11561866125760649
1,6,4,3.0,985.0,0.0030425963488843813,0.017857142857142856,0.0,0.005120616918294569,0.002990978303762399,0.17038539553752535
1,6,5,5.0,985.0,0.005070993914807302,0.11764705882352941,0.0,0.010165526036386444,0.013949377362176003,0.04310344827586207
