Scenario,Iteration,Agent Number,Targets Collected,Total Moves,Agent Happiness,Max Happiness,Min Happiness,Avg Happiness,Standard Deviation Happiness,Agent Competitiveness

1,1,1,1,1250,0.000799361,0.166666667,0,0.004340784,0.011206102,0.004796163

1,1,2,5,1250,0.003996803,0.008438819,0,0.004135704,0.002296272,0.473621103

1,1,3,3,1250,0.002398082,0.016759777,0,0.005040106,0.003594065,0.143085532

1,1,4,3,1250,0.002398082,0.037037037,0,0.00450009,0.004043077,0.064748201

1,1,5,2,1250,0.001598721,0.007352941,0,0.002253087,0.001319626,0.217426059

1,2,1,2,2788,0.000717103,0.004716981,0,0.001133748,0.000765612,0.152025816

1,2,2,4,2788,0.001434206,0.004608295,0,0.0019179,0.000791928,0.31122266

1,2,3,5,2788,0.001792757,0.117647059,0,0.004351338,0.009026236,0.015238437

1,2,4,4,2788,0.001434206,0.006289308,0,0.001833417,0.000936919,0.228038724

1,2,5,3,2788,0.001075654,0.005747126,0,0.001762487,0.001125797,0.187163858

1,3,1,3,976,0.003070624,0.010638298,0,0.002497074,0.002008923,0.28863869

1,3,2,5,976,0.005117707,0.008474576,0,0.003050065,0.001758074,0.603889458

1,3,3,3,976,0.003070624,0.043478261,0,0.006186298,0.004861049,0.07062436

1,3,4,3,976,0.003070624,0.018867925,0,0.006190487,0.003869666,0.162743091

1,3,5,4,976,0.004094166,0.028985507,0,0.00794371,0.005238959,0.141248721

1,4,1,1,734,0.001360544,0.001373626,0,1.49E-05,0.000141941,0.99047619

1,4,2,5,734,0.006802721,0.111111111,0,0.012028041,0.011202649,0.06122449

1,4,3,3,734,0.004081633,0.03125,0,0.004856427,0.004547033,0.130612245

1,4,4,3,734,0.004081633,0.018867925,0,0.004260192,0.003160374,0.216326531

1,4,5,2,734,0.002721088,0.015625,0,0.004516475,0.00261773,0.17414966

1,5,1,4,785,0.005089059,0.009975062,0,0.003728953,0.003530808,0.510178117

1,5,2,3,785,0.003816794,0.032258065,0,0.005419361,0.004381624,0.118320611

1,5,3,5,785,0.006361323,0.0625,0,0.00937994,0.006860844,0.10178117

1,5,4,3,785,0.003816794,0.017391304,0,0.006035241,0.003549463,0.219465649

1,5,5,2,785,0.002544529,0.014492754,0,0.004539415,0.003271071,0.175572519

1,6,1,4,985,0.004056795,0.005797101,0,0.002875696,0.001915326,0.69979716

1,6,2,3,985,0.003042596,0.006237006,0,0.00341043,0.001827222,0.487829615

1,6,3,3,985,0.003042596,0.026315789,0,0.005991969,0.004390209,0.115618661

1,6,4,3,985,0.003042596,0.017857143,0,0.005120617,0.002990978,0.170385396

1,6,5,5,985,0.005070994,0.117647059,0,0.010165526,0.013949377,0.043103448

1,7,1,4,765,0.005221932,0.016949153,0,0.006623196,0.002859597,0.308093995

1,7,2,5,765,0.006527415,0.111111111,0,0.008202154,0.010163636,0.058746736

1,7,3,2,765,0.002610966,0.004914005,0,0.001734308,0.001796191,0.531331593

1,7,4,3,765,0.003916449,0.074074074,0,0.010712097,0.011322002,0.052872063

1,7,5,3,765,0.003916449,0.04,0,0.007987745,0.007045305,0.097911227

1,8,1,1,1189,0.000840336,0.032258065,0,0.003081882,0.004167523,0.02605042

1,8,2,5,1189,0.004201681,0.033333333,0,0.005414809,0.004104235,0.12605042

1,8,3,1,1189,0.000840336,0.000907441,0,6.53E-05,0.000229806,0.92605042

1,8,4,3,1189,0.002521008,0.00754717,0,0.002996534,0.001858523,0.334033613

1,8,5,3,1189,0.002521008,0.166666667,0,0.005595691,0.011212102,0.01512605

1,9,1,2,548,0.003642987,0.090909091,0,0.012686175,0.014088568,0.04007286

1,9,2,5,548,0.009107468,0.03,0,0.010517214,0.006568883,0.303582271

1,9,3,3,548,0.005464481,0.00931677,0,0.003304763,0.003539596,0.586520947

1,9,4,2,548,0.003642987,0.058823529,0,0.008191711,0.007537454,0.061930783

1,9,5,3,548,0.005464481,0.066666667,0,0.015577777,0.01311521,0.081967213

1,10,1,4,951,0.004201681,0.058823529,0,0.009411206,0.00887598,0.071428571

1,10,2,2,951,0.00210084,0.017241379,0,0.004912317,0.003615479,0.121848739

1,10,3,5,951,0.005252101,0.076923077,0,0.011451815,0.009428041,0.068277311

1,10,4,3,951,0.003151261,0.003562945,0,0.001009697,0.001408027,0.884453782

1,10,5,3,951,0.003151261,0.011406844,0,0.004715809,0.002775757,0.276260504

2,1,1,5,967,0.005165289,0.035087719,0,0.009424872,0.00563924,0.147210744

2,1,2,5,967,0.005165289,0.03030303,0,0.009419776,0.005426574,0.170454545

2,1,3,5,967,0.005165289,0.032258065,0,0.010273574,0.00666032,0.160123967

2,1,4,5,967,0.005165289,0.014388489,0,0.006048552,0.003722007,0.358987603

2,1,5,5,967,0.005165289,0.018018018,0,0.00885297,0.00429756,0.286673554

2,2,1,5,470,0.010615711,0.047619048,0,0.015492918,0.008290769,0.222929936

2,2,2,5,470,0.010615711,0.029761905,0,0.016680089,0.007370719,0.356687898

2,2,3,5,470,0.010615711,0.016759777,0,0.009662513,0.004617735,0.633404105

2,2,4,5,470,0.010615711,0.029411765,0,0.015877497,0.005808458,0.360934183

2,2,5,5,470,0.010615711,0.071428571,0,0.015559229,0.007748403,0.148619958

2,3,1,5,415,0.012019231,0.014084507,0,0.007865918,0.003823032,0.853365385

2,3,2,5,415,0.012019231,0.022624434,0,0.013057762,0.006260862,0.53125

2,3,3,5,415,0.012019231,0.1,0,0.02307174,0.015527439,0.120192308

2,3,4,5,415,0.012019231,0.043478261,0,0.016882087,0.008184553,0.276442308

2,3,5,5,415,0.012019231,0.032,0,0.016951586,0.00778608,0.375600962

2,4,1,5,354,0.014084507,0.023809524,0,0.01036497,0.00496439,0.591549296

2,4,2,5,354,0.014084507,0.022988506,0,0.011115695,0.005956486,0.612676056

2,4,3,5,354,0.014084507,0.039215686,0,0.018981198,0.008871596,0.35915493

2,4,4,5,354,0.014084507,0.032258065,0,0.013735265,0.005954522,0.436619718

2,4,5,5,354,0.014084507,0.125,0,0.017197467,0.013916472,0.112676056

2,5,1,5,1471,0.003396739,0.083333333,0,0.009338319,0.008785046,0.04076087

2,5,2,5,1471,0.003396739,0.083333333,0,0.010380497,0.010071844,0.04076087

2,5,3,5,1471,0.003396739,0.0625,0,0.008240292,0.007254944,0.054347826

2,5,4,5,1471,0.003396739,0.034090909,0,0.008606446,0.006115556,0.099637681

2,5,5,5,1471,0.003396739,0.056603774,0,0.011052434,0.010739392,0.060009058

2,6,1,5,344,0.014492754,0.073170732,0,0.026631805,0.015367462,0.198067633

2,6,2,5,344,0.014492754,0.030534351,0,0.015770796,0.007947584,0.474637681

2,6,3,5,344,0.014492754,0.037037037,0,0.019146171,0.008115841,0.391304348

2,6,4,5,344,0.014492754,0.04,0,0.017392192,0.008243343,0.362318841

2,6,5,5,344,0.014492754,0.040816327,0,0.019946443,0.010005403,0.355072464

2,7,1,5,467,0.010683761,0.022222222,0,0.012412461,0.006859309,0.480769231

2,7,2,5,467,0.010683761,0.028571429,0,0.01411525,0.005194427,0.373931624

2,7,3,5,467,0.010683761,0.076923077,0,0.018641287,0.010945573,0.138888889

2,7,4,5,467,0.010683761,0.037037037,0,0.018907254,0.007664409,0.288461538

2,7,5,5,467,0.010683761,0.090909091,0,0.019689867,0.010244035,0.117521368

2,8,1,5,584,0.008547009,0.050847458,0,0.017246858,0.010368752,0.168091168

2,8,2,5,584,0.008547009,0.2,0,0.012671032,0.016465102,0.042735043

2,8,3,5,584,0.008547009,0.035714286,0,0.01615358,0.006989558,0.239316239

2,8,4,5,584,0.008547009,0.037037037,0,0.014883108,0.008572228,0.230769231

2,8,5,5,584,0.008547009,0.075,0,0.018687425,0.013629358,0.113960114

2,9,1,5,608,0.008210181,0.015625,0,0.009499986,0.003640158,0.52545156

2,9,2,5,608,0.008210181,0.048780488,0,0.018934923,0.010884045,0.168308703

2,9,3,5,608,0.008210181,0.034090909,0,0.013041762,0.006980634,0.240831965

2,9,4,5,608,0.008210181,0.083333333,0,0.015635266,0.008524401,0.098522167

2,9,5,5,608,0.008210181,0.042553191,0,0.014454232,0.008334785,0.192939245

2,10,1,5,302,0.01650165,0.2,0,0.020852261,0.020959093,0.082508251

2,10,2,5,302,0.01650165,0.027522936,0,0.017517859,0.007788456,0.599559956

2,10,3,5,302,0.01650165,0.024590164,0,0.013211821,0.00758471,0.671067107

2,10,4,5,302,0.01650165,0.03875969,0,0.019490073,0.011279921,0.425742574

2,10,5,5,302,0.01650165,0.045454545,0,0.017509399,0.008153685,0.363036304

3,1,1,2,319,0.00625,0.017391304,0,0.007973562,0.00488844,0.359375

3,1,2,3,319,0.009375,0.024390244,0,0.011825468,0.006680296,0.384375

3,1,3,4,319,0.0125,0.025,0,0.007777003,0.005007444,0.5

3,1,4,3,319,0.009375,0.019607843,0,0.009611948,0.005129443,0.478125

3,1,5,5,319,0.015625,0.045454545,0,0.015664574,0.009182659,0.34375

3,2,1,4,162,0.024539877,0.071428571,0,0.029039552,0.011543806,0.343558282

3,2,2,1,162,0.006134969,0.035714286,0,0.01100354,0.008100002,0.171779141

3,2,3,5,162,0.030674847,0.046511628,0,0.0245943,0.011373507,0.659509202

3,2,4,4,162,0.024539877,0.064516129,0,0.029645297,0.013416742,0.380368098

3,2,5,5,162,0.030674847,0.1,0,0.033572876,0.014228148,0.306748466

3,3,1,2,195,0.010204082,0.01183432,0,0.003381917,0.004330212,0.862244898

3,3,2,3,195,0.015306122,0.026315789,0,0.013824465,0.007168098,0.581632653

3,3,3,4,195,0.020408163,0.025974026,0,0.014110632,0.009164465,0.785714286

3,3,4,5,195,0.025510204,0.025862069,0,0.013077912,0.008880838,0.986394558

3,3,5,2,195,0.010204082,0.014285714,0,0.004264655,0.00550118,0.714285714

3,4,1,3,168,0.017751479,0.024590164,0,0.009131907,0.009912705,0.721893491

3,4,2,2,168,0.01183432,0.021505376,0,0.009085467,0.007629918,0.550295858

3,4,3,5,168,0.029585799,0.060606061,0,0.028165075,0.013011485,0.48816568

3,4,4,2,168,0.01183432,0.0125,0,0.00219854,0.0038032,0.946745562

3,4,5,4,168,0.023668639,0.025641026,0,0.01467664,0.009420617,0.923076923

3,5,1,2,157,0.012658228,0.090909091,0,0.018773577,0.01565957,0.139240506

3,5,2,1,157,0.006329114,0.016949153,0,0.006348518,0.005327967,0.373417722

3,5,3,5,157,0.03164557,0.043478261,0,0.025118584,0.012300276,0.727848101

3,5,4,4,157,0.025316456,0.040816327,0,0.02186758,0.013672148,0.620253165

3,5,5,2,157,0.012658228,0.03030303,0,0.015252305,0.008580611,0.417721519

3,6,1,4,304,0.013114754,0.019230769,0,0.011421673,0.006164183,0.681967213

3,6,2,4,304,0.013114754,0.02173913,0,0.010897282,0.005029952,0.603278689

3,6,3,5,304,0.016393443,0.045454545,0,0.015418265,0.008236931,0.360655738

3,6,4,4,304,0.013114754,0.066666667,0,0.020322071,0.009336791,0.196721311

3,6,5,4,304,0.013114754,0.016129032,0,0.008330366,0.005288352,0.813114754

3,7,1,4,431,0.009259259,0.045454545,0,0.019161429,0.009641931,0.203703704

3,7,2,3,431,0.006944444,0.058823529,0,0.013225398,0.007680552,0.118055556

3,7,3,3,431,0.006944444,0.043478261,0,0.015979045,0.010308216,0.159722222

3,7,4,5,431,0.011574074,0.035714286,0,0.015982834,0.007515792,0.324074074

3,7,5,4,431,0.009259259,0.052631579,0,0.017923109,0.008485988,0.175925926

3,8,1,2,177,0.011235955,0.0125,0,0.003095258,0.004358248,0.898876404

3,8,2,3,177,0.016853933,0.090909091,0,0.023520208,0.013281632,0.185393258

3,8,3,5,177,0.028089888,0.02919708,0,0.014923846,0.010451122,0.962078652

3,8,4,2,177,0.011235955,0.090909091,0,0.018975777,0.014547615,0.123595506

3,8,5,3,177,0.016853933,0.043478261,0,0.017015574,0.010978577,0.387640449

3,9,1,5,155,0.032051282,0.095238095,0,0.03539082,0.018321085,0.336538462

3,9,2,1,155,0.006410256,0.006451613,0,8.30E-05,0.000725781,0.993589744

3,9,3,4,155,0.025641026,0.036585366,0,0.020488343,0.012140691,0.700854701

3,9,4,3,155,0.019230769,0.0234375,0,0.010210152,0.009210961,0.820512821

3,9,5,4,155,0.025641026,0.029850746,0,0.017956907,0.01071141,0.858974359

3,10,1,3,178,0.016759777,0.055555556,0,0.025272559,0.011037979,0.301675978

3,10,2,3,178,0.016759777,0.038461538,0,0.015727845,0.008458349,0.43575419

3,10,3,1,178,0.005586592,0.014084507,0,0.005250311,0.004563187,0.396648045

3,10,4,3,178,0.016759777,0.071428571,0,0.022539255,0.011240573,0.234636872

3,10,5,5,178,0.027932961,0.028776978,0,0.010842619,0.011394845,0.970670391
